OBJECTID,Shape,AREA,PERIMETER,ZIP,ZIPCODE,COUNTY,Shape_Length,Shape_Area
81,"(47.557269777000045, -122.39943090699995)",,,98136,98136,033,32789.456784422480268,48759139.154736936092377
82,"(47.60084903300003, -122.31413106999997)",,,98144,98144,033,26097.917138690827414,28191940.06711483374238
83,"(47.514671528000065, -122.34972929699995)",,,98146,98146,033,37607.061922691333166,52397046.770077496767044
84,"(47.47024750600008, -122.31294202999999)",,,98148,98148,033,31260.26083423347518,16159407.418648554012179
85,"(47.606096026000046, -122.33301660099994)",,,98154,98154,033,499.795870525463101,0
86,"(47.76965619500004, -122.26951692499995)",,,98155,98155,033,32837.394817391468678,47490625.536510355770588
87,"(47.44400118300007, -122.29623224899996)",,,98158,98158,033,15582.116484720494554,11805505.039569890126586
88,"(47.60585382100004, -122.33123806399999)",,,98164,98164,033,504.15276285262064,0
89,"(47.48208094300003, -122.34910663799997)",,,98166,98166,033,46694.397236989192606,85027132.206474751234055
90,"(47.51559847200008, -122.29258805499995)",,,98168,98168,033,47515.944014033608255,52643111.636679463088512
91,"(47.777928227000075, -122.40398932099998)",,,98177,98177,033,52181.775729835615493,105408793.479331344366074
92,"(47.512958283000046, -122.22167315299998)",,,98178,98178,033,31350.952625101388549,30991531.022572826594114
93,"(47.474177594000025, -122.24997845699994)",,,98188,98188,033,42615.257032290603092,44402491.220278553664684
94,"(47.66119925300006, -122.304686044)",,,98195,98195,033,9208.326552803584491,5444986.162758623249829
95,"(47.423255323000035, -122.32097250099997)",,,98198,98198,033,54169.260103881897521,67190935.000353515148163
96,"(47.664656517000026, -122.39473324099998)",,,98199,98199,033,41097.762407735688612,85545444.379541099071503
97,"(47.98374150300003, -122.16832528499998)",,,98201,98201,061,54484.26728305148572,137990091.205737322568893
98,"(47.964910314000065, -122.18902790799996)",,,98203,98203,061,51727.73650123707921,89422978.336494952440262
99,"(47.921996662000026, -122.23165803599994)",,,98204,98204,061,37850.237185686411976,51692659.366474792361259
100,"(47.97820673900003, -122.05629121199996)",,,98205,98205,061,92482.296415874210652,131167016.528996452689171
101,"(48.02662164700007, -122.29896223499998)",,,98206,98260,061,19957.534395450416923,26075530.688781246542931
102,"(47.942212149000056, -122.18468553699995)",,,98208,98208,061,63996.63836550610722,74667982.232875779271126
103,"(48.298582028000055, -121.66417052499997)",,,98223,98223,061,261911.740213411976583,1920767541.89943790435791
104,"(47.78010485300007, -121.36426408399996)",,,98224,98224,033,84846.257521076142439,353261098.285236656665802
105,"(48.125324705000025, -120.95581711999995)",,,98241,98241,061,223738.181419563916279,2237650962.295372009277344
106,"(47.878772060000074, -121.71270169499996)",,,98251,98251,061,77380.05003602441866,281176771.272308588027954
107,"(48.12453415900006, -121.66598693299994)",,,98252,98252,061,298607.020575455971994,2381236743.157207489013672
108,"(48.10136328300007, -122.043128508)",,,98258,98258,061,85788.830284498355468,155148814.109822660684586
109,"(48.06415845600003, -122.11153272699994)",,,98270,98270,061,59147.067789403306961,83465724.080899685621262
110,"(48.09196846700007, -122.14058028799997)",,,98271,98271,061,124861.895844280050369,391536766.23499208688736
111,"(47.77710988600006, -121.90517553799998)",,,98272,98272,061,127804.419471277287812,518180524.205370783805847
112,"(47.93656262600007, -122.28861941999997)",,,98275,98275,061,46420.585782423404453,74252256.1769879758358
113,"(48.225047697000036, -122.39716058399995)",,,98282,98282,061,11067.755248312783806,5066108.719449296593666
114,"(47.72029180900006, -121.41014558999996)",,,98288,98288,033,219197.076488981227158,1789427479.314144849777222
115,"(47.94983278800004, -121.86125948399996)",,,98290,98290,061,158203.357062255032361,590263678.949804306030273
116,"(48.29751589400007, -122.20394759899995)",,,98292,98292,061,129435.32080606384261,551802704.838863253593445
117,"(47.77728444200005, -121.71317227899999)",,,98294,98294,061,282148.86580377840437,2257942519.762775421142578
118,"(47.92247121500003, -122.14997333399998)",,,98296,98296,061,119882.474699430909823,216081079.185701280832291
119,"(47.13552556800005, -122.66596012399998)",,,98303,98303,053,38587.055715261987643,0
120,"(46.76450836300006, -121.91788016099997)",,,98304,98304,053,65831.008483891957439,63664460.90987216681242
121,"(47.60677007500004, -122.65742868499996)",,,98310,98310,035,28408.427927136552171,43965335.195326425135136
122,"(47.65286471600007, -122.59650782399996)",,,98311,98311,035,36563.46134685936704,78001945.137695640325546
123,"(47.65191236100003, -122.77273704499999)",,,98312,98312,035,104689.289771385418135,401316275.855173230171204
124,"(47.54768522900008, -122.64194211899996)",,,98314,98314,035,15329.834849725260938,10673579.640959866344929
125,"(47.73369230800006, -122.69412976499996)",,,98315,98315,035,44936.669548569800099,81613643.796576917171478
126,"(47.17403615500007, -122.02293131899995)",,,98321,98321,053,91181.630472080927575,229538728.262672156095505
127,"(47.112245905000066, -122.01474739099996)",,,98323,98323,053,72076.662876277056057,0
128,"(47.13481463800008, -122.64318908199999)",,,98327,98327,053,39805.783535661066708,57079512.664207778871059
129,"(46.936821992000034, -122.22949811199999)",,,98328,98328,053,135604.284546891751233,539841319.429471135139465
130,"(47.40342848300003, -122.63126873599998)",,,98329,98329,053,56335.116574496423709,169659612.76327657699585
131,"(46.76302358700008, -122.16198694599996)",,,98330,98330,053,20343.067806504823238,10539575.234626810997725
132,"(47.334148576000075, -122.535293707)",,,98332,98332,053,55806.027023760892916,158862503.116427630186081
133,"(47.21350348900006, -122.59251029599994)",,,98333,98333,053,42177.119954252710158,0
134,"(47.32440274900006, -122.56264392399999)",,,98335,98335,053,66881.461549184838077,201377892.230833739042282
135,"(47.56680394000006, -122.61947430299995)",,,98337,98337,035,14110.110096069947758,8200591.982633432373405
136,"(47.083682655000075, -122.29294398299999)",,,98338,98338,053,100275.028244247019757,319602079.239293098449707
137,"(47.89189866500004, -122.48085519999995)",,,98340,98340,035,53364.000347140696249,157314051.441937565803528
138,"(47.76925381500007, -122.50399755399997)",,,98342,98342,035,27377.908930948506168,40173322.257872879505157
139,"(47.700485901000036, -122.61035531699997)",,,98345,98345,035,10047.313659956847914,5495697.448006154969335
140,"(47.88951679300004, -122.53042662499996)",,,98346,98346,035,98843.089793804203509,328018407.507896959781647
141,"(47.33769878500004, -122.69244745399999)",,,98349,98349,053,71400.524295949217048,216547994.14675498008728
142,"(47.21387380400006, -122.73235005899994)",,,98351,98351,053,44803.173096637052367,99407809.754438802599907
143,"(47.26460582300007, -122.31646374299999)",,,98354,98354,033,10373.687016741432672,2882808.597602356225252
144,"(47.257264863000046, -122.33521700499995)",,,98354,98354,053,18626.286384357033967,11602738.460418680682778
145,"(47.461321704000056, -122.51934579299996)",,,98359,98359,035,41407.071076536965847,91425075.259438738226891
146,"(47.13951193500003, -122.22705531999998)",,,98360,98360,053,113620.996349325607298,292033690.652876853942871
147,"(47.58256341200007, -122.53997095599999)",,,98366,98366,035,71026.334125489840517,225115740.219211280345917
148,"(47.53019014100005, -122.68386755399996)",,,98367,98367,035,102172.966700746270362,454302740.080038607120514
149,"(47.85787041800006, -122.57708432199996)",,,98370,98370,035,135965.326659850950819,429382181.135558247566223
150,"(47.24271662500007, -122.29385076799997)",,,98371,98371,053,42255.496333038136072,72954528.304133281111717
151,"(47.25723959900006, -122.28740958699996)",,,98372,98372,053,48885.478778811368102,75225927.970094949007034
152,"(47.16964351300004, -122.292808047)",,,98373,98373,053,28800.487751924814802,51778227.191330879926682
153,"(47.16957124500004, -122.21532782399998)",,,98374,98374,053,48422.350718757908908,93769338.158444225788116
154,"(47.12578396100008, -122.29237055599998)",,,98375,98375,053,29218.094321904689423,0
155,"(47.67214413200003, -122.78499238699999)",,,98380,98380,035,99696.360892972676083,358439298.377007305622101
156,"(47.701187891000075, -122.69222592999995)",,,98383,98383,035,63178.471601782432117,119081451.454225704073906
157,"(47.13366965300003, -122.10201113199997)",,,98385,98385,053,6221.719804302134435,2248523.956044598016888
158,"(47.11181613900004, -122.43196848099996)",,,98387,98387,053,99547.524675820139237,120182822.822651624679565
159,"(47.202288847000034, -122.61415559199997)",,,98388,98388,053,66282.995055810766644,150763202.543149322271347
160,"(47.25071183500006, -122.23514560999996)",,,98390,98390,053,45824.773402852893923,52195434.941905952990055
161,"(47.255495480000036, -122.14232381599999)",,,98391,98391,053,87849.973182451445609,217090245.069911122322083
162,"(47.749036111000066, -122.55685137299997)",,,98392,98392,035,20387.743705004471849,13785579.716866860166192
163,"(47.34075607600005, -122.75925995799997)",,,98394,98394,053,29200.053633132221876,44080491.513466216623783
164,"(47.112245905000066, -122.01474739099996)",,,98396,98396,053,328519.725596483098343,2401413933.678017139434814
165,"(46.99414843100004, -121.53525166599997)",,,98397,98397,053,191099.304536292183911,1697904082.734356641769409
166,"(47.23337859000003, -122.43241008999996)",,,98402,98402,053,13469.310464064270491,5413117.106615630909801
167,"(47.29078751900005, -122.42889925299994)",,,98403,98403,053,18884.621233073925396,19157476.723295707255602
168,"(47.23495303400006, -122.38899991399995)",,,98404,98404,053,27632.278260358867556,43470698.380651690065861
169,"(47.23639133800003, -122.44091988899999)",,,98405,98405,053,22552.045955432553455,24037146.010409235954285
170,"(47.27120954700007, -122.52125090099997)",,,98406,98406,053,30670.546342032495886,25678378.054086413234472
171,"(47.32440274900006, -122.56264392399999)",,,98407,98407,053,40176.041418153734412,82175546.208181217312813
172,"(47.21494194100006, -122.43116512999995)",,,98408,98408,053,18369.485293826543057,19292054.590726800262928
173,"(47.23639133800003, -122.44091988899999)",,,98409,98409,053,33202.547010493457492,40976013.097082361578941
174,"(47.26530747700008, -122.47794178999999)",,,98416,98416,053,4347.928091645455424,823493.715083261951804
175,"(47.21494194100006, -122.43116512999995)",,,98418,98418,053,12463.026681119474233,9437667.497641080990434
176,"(47.258048691000056, -122.35580309499994)",,,98421,98421,053,31986.692680851465411,49506368.942289784550667
177,"(47.26071209200006, -122.33146615599998)",,,98422,98422,033,8761.838945136289112,485635.579176016210113
178,"(47.330534158000034, -122.43265841999994)",,,98422,98422,053,39738.183533865318168,57675757.062977105379105
179,"(47.24050210900003, -122.39963144999996)",,,98424,98424,053,31548.756501701678644,30520938.905353724956512
180,"(47.11786868100006, -122.55649745299996)",,,98430,98430,053,7468.550219668378304,0
181,"(47.15886501600005, -122.59307465999996)",,,98433,98433,053,163318.871726446464891,596161293.736107468605042
182,"(47.155692041000066, -122.47443980699995)",,,98438,98438,053,33180.053359208330221,35924170.671870201826096
183,"(47.11946543300007, -122.51307118899996)",,,98439,98439,053,13973.484527965067173,6491648.850344830192626
184,"(47.22249239800004, -122.35710735699996)",,,98443,98443,053,23267.212424830904638,27905440.718157336115837
185,"(47.16265573000004, -122.43142858599998)",,,98444,98444,053,38068.970233875646954,38924871.888966783881187
186,"(47.181079424000075, -122.38925942299994)",,,98445,98445,053,42882.515011375318863,60611777.196707233786583
187,"(47.18108601000006, -122.35729318499995)",,,98446,98446,053,41359.114173532390851,60789583.948729708790779
188,"(47.14412448200005, -122.44762653699996)",,,98447,98447,053,4216.250169136340446,637183.686428514425643
189,"(47.25522560500008, -122.50495097099997)",,,98465,98465,053,18817.614808277416159,13424967.773410700261593
190,"(47.21350348900006, -122.59251029599994)",,,98466,98466,053,27917.077216932058946,39772592.089393794536591
191,"(47.20069385100004, -122.60713472199996)",,,98467,98467,053,29334.709772657581198,31094173.664980500936508
192,"(47.19747219000004, -122.52762342199998)",,,98498,98498,053,42212.463292694628763,54523277.812350682914257
193,"(47.19044099900003, -122.50483322699995)",,,98499,98499,053,36868.16253004988539,51956703.940546996891499
194,"(47.005141587000026, -122.42210842499998)",,,98580,98580,053,104618.744708081940189,361207339.244316935539246
195,"(47.32191266500007, -120.51646885499997)",,,98922,98922,037,390928.384676387533545,3463955639.884948253631592
196,"(47.41893117300003, -121.21040738899995)",,,98925,98925,037,230622.551257107261335,1207542761.1873459815979
197,"(46.99943171700005, -120.00241287499995)",,,98926,98926,037,423409.622364381910302,6485855957.126508712768555
198,"(46.990136180000036, -120.42335611499999)",,,98934,98934,037,9789.499951633799355,2451555.366771974600852
199,"(47.59711902000004, -121.11479941999994)",,,98940,98940,037,209437.403437867120374,1105902801.489238500595093
200,"(47.233161282000026, -121.00593297899997)",,,98941,98941,037,57432.30799463292351,71849823.802357122302055
201,"(47.18516196400003, -120.94261026699996)",,,98943,98943,037,6395.122398315766986,0
202,"(47.041083222000054, -120.81409842799997)",,,98946,98946,037,66283.681711880068178,167480998.993677824735641
203,"(46.73772633500005, -119.99940341199999)",,,98950,98950,037,93558.931126604016754,181704030.704903125762939
